"code","percent_off","max_redemptions","expires_at","note"
"3TP98C9YV","60","1","2025-11-26","launch_202511"
"U6YQ36XPC","60","1","2025-11-26","launch_202511"
"BSYK36ADQ","60","1","2025-11-26","launch_202511"
"S9QP324FC","60","1","2025-11-26","launch_202511"
"4254YJ88A","60","1","2025-11-26","launch_202511"
"HJ7MDNUYU","60","1","2025-11-26","launch_202511"
"95TFQZT8D","60","1","2025-11-26","launch_202511"
"CY3UQVUFG","60","1","2025-11-26","launch_202511"
"4JU3JJAEB","60","1","2025-11-26","launch_202511"
"FEMQT4KMJ","60","1","2025-11-26","launch_202511"
"BTTWVUGHS","60","1","2025-11-26","launch_202511"
"A849G45ZF","60","1","2025-11-26","launch_202511"
"RE459ZGNW","60","1","2025-11-26","launch_202511"
"T7EHZMSCD","60","1","2025-11-26","launch_202511"
"M8T83G5JM","60","1","2025-11-26","launch_202511"
"U3MTU3WYT","60","1","2025-11-26","launch_202511"
"CEQSGQ4UY","60","1","2025-11-26","launch_202511"
"QA2UHJTC8","60","1","2025-11-26","launch_202511"
"WQSCZJRT6","60","1","2025-11-26","launch_202511"
"ND3GUG2DM","60","1","2025-11-26","launch_202511"
"KUB74V2RX","60","1","2025-11-26","launch_202511"
"8GWFP3SRE","60","1","2025-11-26","launch_202511"
"5SXDDRHTC","60","1","2025-11-26","launch_202511"
"N3WKXBFBD","60","1","2025-11-26","launch_202511"
"274XDNTRM","60","1","2025-11-26","launch_202511"
"Z72P8RHG2","60","1","2025-11-26","launch_202511"
"CHZ524HPD","60","1","2025-11-26","launch_202511"
"996BRE7ZY","60","1","2025-11-26","launch_202511"
"4PAWYWSF7","60","1","2025-11-26","launch_202511"
"NZBRRHCZP","60","1","2025-11-26","launch_202511"
"SQWH4UV5K","60","1","2025-11-26","launch_202511"
"SJA23H3YE","60","1","2025-11-26","launch_202511"
"37B23MW7V","60","1","2025-11-26","launch_202511"
"6HCY5CQ5A","60","1","2025-11-26","launch_202511"
"NC93Q4GQZ","60","1","2025-11-26","launch_202511"
"376K2ZNF7","60","1","2025-11-26","launch_202511"
"332QN577D","60","1","2025-11-26","launch_202511"
"J6VCHMKYK","60","1","2025-11-26","launch_202511"
"8AVZHY8Y7","60","1","2025-11-26","launch_202511"
"4GXWK3TPD","60","1","2025-11-26","launch_202511"
"B953494TN","60","1","2025-11-26","launch_202511"
"73JFQ93ED","60","1","2025-11-26","launch_202511"
"QYY5W62GX","60","1","2025-11-26","launch_202511"
"YTU4XDHEF","60","1","2025-11-26","launch_202511"
"JZXB9R4MR","60","1","2025-11-26","launch_202511"
"PAA4N9JYN","60","1","2025-11-26","launch_202511"
"6GNM64G9F","60","1","2025-11-26","launch_202511"
"DR7WKATTQ","60","1","2025-11-26","launch_202511"
"FYSPNQK56","60","1","2025-11-26","launch_202511"
"PTT5P6XXF","60","1","2025-11-26","launch_202511"
